file	bytes	pages	words	sha256	text_file	text_sha256	source_file	source_sha256
fulcrum_v3n3_april_1995_ocr.pdf	2689645	40	20010	b241f20d0d71f10dc45d61d35ae144d119628abdd05faedcacb01ef8b9dbc5c0	fulcrum_v3n3_april_1995_ocr.txt	c564cfd7cd5df6760a8b27c6a50e22d849e26603476e6a5078a848d60927a1db	fulcrum_v3n3_april_1995.pdf	d09cdf97aeb0d42af78903144c7f202b4603c7a9a053b29e1220fba4e9a7382c
fulcrum_v3n4_july_1995_ocr.pdf	3562235	40	17211	7da91afa7b3a84986d40178519145430f018fdfa67de7d167a3bc8e529da4c2e	fulcrum_v3n4_july_1995_ocr.txt	10da82948cafc20d8ee85f172493932589714e9ba86d77c930a59ed2c8e4dc4e	fulcrum_v3n4_july_1995.pdf	cc4b529646121638134570e829001453b1d776d517f41172ef0d19bf525b9a0b
fulcrum_v4n1_january_1996_ocr.pdf	16662230	44	18194	343c820da48e53e0791cabeb268a4417090e1b64a0c969f59ae1f98d1168c8a7	fulcrum_v4n1_january_1996_ocr.txt	22bd7780d6628da137a5d224c219d626150f90329f777abdb4d9ba8eb1fbb3d8	fulcrum_v4n1_january_1996.pdf	6738e4fac7e1ed673a6630a967a7fbad79192e3115f4740b22a22e30fde3bcab
fulcrum_v4n2_june_1996_ocr.pdf	3866732	59	26278	90007b1d26bad0b3fe1f470c116827a25fb789d5d1e258846fa22a54a2506bd5	fulcrum_v4n2_june_1996_ocr.txt	78fba00cb61549e761bbbce7ff667b69a2902b380fea65bb1709878b02a7d65b	fulcrum_v4n2_june_1996.pdf	351f16fd3ba9b23be062239c6595676a58e7681817c210d9a0325f407f7059ac
fulcrum_v4n3_october_1996_ocr.pdf	3669690	53	31098	b7dcfac89db5fb2c074cad9cbf7930f684d9561f6d3b02889701e63ea2ac1fd9	fulcrum_v4n3_october_1996_ocr.txt	fd607e2e2cdf3c0814f6f28e0070e22c7ef85186ab513bed93ef79e5f20c37b6	fulcrum_v4n3_october_1996.pdf	4ff27b2111d7c19c2a4d0ba4873d2c79303a789b40c1b7755220c9634e00e470
fulcrum_v5n1_may_1997_ocr.pdf	35389164	138	45523	e1adf433c02cad76da1d0bfa21a0a208e8a3d99bb91259be2143428c39bcffd6	fulcrum_v5n1_may_1997_ocr.txt	1ce7a8be0280c8b485c1987f1063beef18f53fdb8561fefc844ac0ba4e617207	fulcrum_v5n1_may_1997.pdf	f2811d92457ab2c96ed53bd23d979ca95ffd3788c03d9020560456ca2e2864c4
fulcrum_v5n2_november_1997_ocr.pdf	26762873	88	36588	001c3018bb1da3866f76b2ff5a1a45ef14e8bdfc8b1b48bd2d4de2ad218dcfa4	fulcrum_v5n2_november_1997_ocr.txt	aab5a71d70c4cd9b328bde3f9f1c4d55c143d3dd0fa9fefa849cd92b936135f4	fulcrum_v5n2_november_1997.pdf	04b4719f55acb55afd4c642121367f1f580de48fa1783beb29a7ee6451f248a8
fulcrum_v5n3_december_1997_ocr.pdf	24162024	86	36971	d77785c175545df53955a81a49e9e6c20479d6f9e2f8d3b1aa2cbd79ea356aa6	fulcrum_v5n3_december_1997_ocr.txt	8f872da83e1b32c6b63c06005e15b503b60c2639a9d3640a0339205a97d0c7cc	fulcrum_v5n3_december_1997.pdf	3db8b3b5cbffd1034874a010538a423feaecb1e8737a4f44ab8920a53532484a
fulcrum_v6n1_may_1998_ocr.pdf	28920408	106	45406	f7b3ef8d259288148fa895b9aa0efd6c7e731e8c4395fc1e78bd2a2e0a246f68	fulcrum_v6n1_may_1998_ocr.txt	deff277cc097856e9a520fb82533afaba292db9112b680ed75654b556eff6917	fulcrum_v6n1_may_1998.pdf	7c7579bdcfc99bdc1651a7b110935de3c2b9058fda4f4f5d0598f1b277892860
fulcrum_v6n2_november_1998_ocr.pdf	25352168	79	36809	b4f05a63a8c68671592b91b348d22acef1e9eda873bd8ea3ffd417e96e149e86	fulcrum_v6n2_november_1998_ocr.txt	cda22b44a62e572f1a30a03af2dc443a7537d849f760aff54d47cead84fa6365	fulcrum_v6n2_november_1998.pdf	3fb9c6931b7e346999b60b53e6d652acde49f52a4b29a6f12097f91c3b6970e6
fulcrum_v6n3_december_1998_ocr.pdf	26953691	107	30789	90f9e5814f24f58f9f3591b99c46dd36a376689a6f36d332ec70a55cba1e25f9	fulcrum_v6n3_december_1998_ocr.txt	ec370d77a7604486a14449faf41f53a5bf6514456222cedcbf3cf05f5e906024	fulcrum_v6n3_december_1998.pdf	92d9c7dccc3b717853c4f10a09cdcb803042a12d15109370d255385255996c1a
